Eng_Strain, Eng_Stress (MPa) 
0.000018, 3.714536 
0.000035, 6.734675 
0.000051, 9.989463 
0.000060, 11.860618 
0.000067, 12.977390 
0.000075, 14.516384 
0.000079, 15.506873 
0.000087, 17.010742 
0.000094, 18.548473 
0.000104, 20.052216 
0.000110, 21.325205 
0.000114, 22.400235 
0.000127, 24.935824 
0.000140, 27.675791 
0.000157, 30.771064 
0.000175, 34.319024 
0.000177, 34.854715 
0.000185, 36.148046 
0.000193, 37.991149 
0.000204, 40.190150 
0.000212, 41.501111 
0.000219, 42.874223 
0.000225, 44.484846 
0.000236, 46.300702 
0.000244, 47.863990 
0.000250, 49.253292 
0.000258, 50.919906 
0.000268, 52.589215 
0.000274, 54.206745 
0.000283, 55.563998 
0.000289, 57.111160 
0.000296, 58.626464 
0.000306, 60.070905 
0.000312, 61.408855 
0.000319, 63.255736 
0.000330, 65.142706 
0.000336, 66.451299 
0.000349, 68.454707 
0.000356, 70.187072 
0.000365, 71.564343 
0.000372, 73.052027 
0.000382, 74.533701 
0.000385, 76.076175 
0.000394, 77.575143 
0.000405, 79.260822 
0.000416, 81.135683 
0.000420, 82.717842 
0.000425, 84.096273 
0.000438, 85.804797 
0.000445, 87.408724 
0.000454, 88.868288 
0.000462, 90.430649 
0.000468, 92.185244 
0.000477, 93.658649 
0.000482, 95.108682 
0.000490, 96.427939 
0.000499, 97.742654 
0.000505, 98.620623 
0.000513, 100.573446 
0.000524, 102.906182 
0.000532, 104.581092 
0.000547, 107.238622 
0.000559, 109.352969 
0.000566, 110.860263 
0.000571, 112.512500 
0.000580, 114.130060 
0.000592, 115.998881 
0.000598, 117.453461 
0.000603, 119.059748 
0.000611, 120.089805 
0.000618, 121.663420 
0.000629, 123.590098 
0.000637, 124.859309 
0.000642, 126.392327 
0.000653, 127.962586 
0.000660, 129.685529 
0.000667, 131.408491 
0.000676, 133.072496 
0.000683, 134.463033 
0.000695, 136.734047 
0.000706, 138.650375 
0.000715, 140.172706 
0.000722, 141.947372 
0.000727, 143.162339 
0.000735, 144.599279 
0.000742, 146.149572 
0.000751, 147.932245 
0.000757, 149.250522 
0.000763, 150.647395 
0.000774, 152.557913 
0.000782, 154.234831 
0.000790, 155.654880 
0.000802, 157.886971 
0.000809, 159.203679 
0.000818, 160.932185 
0.000830, 163.022098 
0.000836, 164.714951 
0.000844, 166.339625 
0.000853, 167.629685 
0.000860, 169.075394 
0.000869, 170.879230 
0.000881, 172.493510 
0.000886, 174.137920 
0.000893, 175.661471 
0.000902, 177.330060 
0.000910, 178.808228 
0.000916, 180.246182 
0.000924, 182.055278 
0.000933, 183.408517 
0.000944, 185.336276 
0.000947, 186.495908 
0.000956, 188.508401 
0.000970, 190.886937 
0.000980, 192.476547 
0.000986, 193.550233 
0.000994, 195.344831 
0.001005, 197.537113 
0.001014, 198.740458 
0.001019, 200.041167 
0.001026, 201.380019 
0.001035, 203.250589 
0.001042, 204.367110 
0.001043, 205.457624 
0.001051, 206.752083 
0.001063, 208.519407 
0.001067, 209.887676 
0.001079, 211.768273 
0.001090, 214.292233 
0.001104, 217.013851 
0.001118, 219.531637 
0.001126, 221.358675 
0.001132, 222.223870 
0.001142, 224.181156 
0.001146, 225.769831 
0.001156, 227.200345 
0.001164, 228.570537 
0.001169, 229.911809 
0.001175, 230.887729 
0.001179, 231.715315 
0.001189, 233.318615 
0.001201, 235.799080 
0.001209, 237.168285 
0.001215, 238.755785 
0.001226, 240.991156 
0.001236, 242.814144 
0.001246, 244.483502 
0.001254, 246.179328 
0.001261, 248.031517 
0.001268, 249.021734 
0.001277, 250.907207 
0.001285, 252.258412 
0.001288, 252.855931 
0.001295, 254.227995 
0.001302, 255.974369 
0.001312, 257.926486 
0.001320, 259.422508 
0.001326, 260.812020 
0.001334, 262.268270 
0.001344, 263.958007 
0.001349, 265.753266 
0.001363, 268.029621 
0.001369, 269.449632 
0.001374, 270.494084 
0.001383, 272.421603 
0.001390, 273.745863 
0.001396, 275.116314 
0.001404, 276.769343 
0.001412, 278.320240 
0.001423, 279.618803 
0.001427, 281.144133 
0.001434, 282.626847 
0.001441, 283.468179 
0.001448, 285.130004 
0.001459, 286.996449 
0.001466, 288.647076 
0.001472, 289.852402 
0.001481, 291.591903 
0.001492, 293.807553 
0.001497, 294.873176 
0.001508, 296.547774 
0.001514, 298.107380 
0.001523, 299.842372 
0.001531, 301.595420 
0.001540, 303.216351 
0.001542, 304.106216 
0.001553, 305.479711 
0.001560, 307.309024 
0.001567, 308.355180 
0.001571, 309.444467 
0.001577, 310.098296 
0.001585, 311.980965 
0.001595, 313.956081 
0.001602, 315.167143 
0.001610, 316.797462 
0.001622, 319.427031 
0.001634, 321.384336 
0.001652, 324.646693 
0.001655, 325.925023 
0.001658, 326.289692 
0.001669, 328.273172 
0.001676, 329.741276 
0.001678, 330.210901 
0.001685, 331.144317 
0.001693, 332.803630 
0.001697, 333.834700 
0.001703, 334.637177 
0.001713, 336.676629 
0.001720, 338.140777 
0.001729, 339.541836 
0.001733, 341.103971 
0.001743, 342.886637 
0.001754, 344.920447 
0.001762, 346.322020 
0.001773, 348.492267 
0.001777, 349.529058 
0.001787, 351.053690 
0.001790, 352.278720 
0.001797, 353.348758 
0.001801, 354.541273 
0.001812, 356.160372 
0.001818, 357.534636 
0.001826, 358.948157 
0.001834, 360.679685 
0.001842, 362.304358 
0.001848, 363.467290 
0.001856, 365.084227 
0.001871, 367.834583 
0.001878, 369.104737 
0.001885, 370.126757 
0.001889, 371.331074 
0.001895, 372.747894 
0.001904, 374.441851 
0.001909, 375.693994 
0.001919, 377.184234 
0.001926, 378.352778 
0.001932, 379.483108 
0.001939, 381.023236 
0.001947, 382.412050 
0.001954, 384.070233 
0.001959, 385.128679 
0.001969, 386.969257 
0.001974, 388.145833 
0.001983, 389.830218 
0.001993, 391.878078 
0.002004, 393.962237 
0.002009, 394.991441 
0.002018, 396.561562 
0.002021, 397.651502 
0.002031, 398.833784 
0.002036, 400.431682 
0.002042, 401.476201 
0.002047, 402.489940 
0.002055, 403.912838 
0.002059, 404.791029 
0.002065, 405.835661 
0.002074, 407.562125 
0.002082, 409.234872 
0.002090, 410.856081 
0.002105, 413.422035 
0.002112, 415.297898 
0.002123, 417.487763 
0.002140, 420.454880 
0.002134, 419.321321 
0.002133, 419.071734 
0.002143, 420.628228 
0.002157, 423.017042 
0.002160, 423.850225 
0.002163, 424.577928 
0.002168, 425.507920 
0.002182, 427.791592 
0.002187, 429.159572 
0.002188, 429.721134 
0.002198, 431.156494 
0.002206, 433.152703 
0.002214, 434.549662 
0.002220, 435.871997 
0.002231, 437.934685 
0.002240, 439.528716 
0.002247, 440.980593 
0.002259, 443.511599 
0.002264, 444.569182 
0.002268, 445.197035 
0.002276, 446.365240 
0.002280, 447.718881 
0.002285, 448.974212 
0.002293, 450.121171 
0.002300, 451.597523 
0.002309, 453.074625 
0.002315, 454.308821 
0.002327, 456.459197 
0.002334, 457.888889 
0.002343, 459.631156 
0.002351, 461.063626 
0.002357, 462.456494 
0.002365, 464.020270 
0.002371, 465.313851 
0.002383, 467.042342 
0.002387, 468.239715 
0.002393, 469.687350 
0.002401, 471.066592 
0.002407, 472.063476 
0.002412, 473.139527 
0.002418, 474.429617 
0.002426, 475.853866 
0.002433, 477.450450 
0.002436, 478.500000 
0.002443, 479.812462 
0.002456, 481.987162 
0.002468, 483.925751 
0.002479, 485.817568 
0.002483, 486.920646 
0.002490, 488.204805 
0.002496, 489.669707 
0.002507, 491.671284 
0.002515, 492.914002 
0.002518, 493.640616 
0.002524, 494.722110 
0.002530, 496.030893 
0.002540, 497.615953 
0.002546, 499.331306 
0.002550, 499.831869 
0.002558, 501.645420 
0.002565, 503.140278 
0.002571, 504.065015 
0.002576, 504.884572 
0.002586, 507.171284 
0.002599, 508.949474 
0.002608, 511.029017 
0.002620, 513.198123 
0.002627, 515.177853 
0.002640, 517.436824 
0.002648, 519.066929 
0.002655, 520.392155 
0.002660, 521.327553 
0.002664, 522.270721 
0.002673, 523.734122 
0.002677, 524.562838 
0.002682, 525.102703 
0.002688, 526.291066 
0.002696, 527.713401 
0.002700, 528.918656 
0.002709, 530.550488 
0.002719, 532.285098 
0.002725, 533.834572 
0.002731, 534.994294 
0.002740, 536.447635 
0.002750, 538.324137 
0.002753, 539.483371 
0.002763, 541.119107 
0.002770, 542.229204 
0.002779, 543.876689 
0.002784, 545.178341 
0.002790, 546.334459 
0.002794, 547.155631 
0.002805, 548.730218 
0.002812, 550.394294 
0.002817, 551.457057 
0.002818, 551.476952 
0.002824, 552.369707 
0.002833, 553.974362 
0.002841, 555.851464 
0.002853, 557.685998 
0.002859, 559.186674 
0.002868, 560.696134 
0.002876, 561.940090 
0.002882, 562.693318 
0.002888, 564.373273 
0.002900, 566.119557 
0.002906, 567.435661 
0.002905, 567.827065 
0.002915, 569.601764 
0.002924, 570.967192 
0.002929, 571.982320 
0.002937, 573.335285 
0.002947, 574.684272 
0.002955, 576.331494 
0.002961, 577.745608 
0.002973, 579.757545 
0.002982, 581.221059 
0.002991, 582.690128 
0.003000, 583.831044 
0.003009, 585.658709 
0.003017, 586.794294 
0.003026, 588.324437 
0.003035, 589.958296 
0.003040, 590.578641 
0.003046, 591.419144 
0.003051, 592.343806 
0.003058, 593.235623 
0.003066, 594.314227 
0.003071, 595.317943 
0.003081, 596.510098 
0.003093, 598.640578 
0.003105, 600.883333 
0.003121, 603.165653 
0.003136, 605.094557 
0.003151, 606.893994 
0.003169, 609.398686 
0.003174, 609.434047 
0.003181, 610.052965 
0.003198, 612.449174 
0.003208, 612.961562 
0.003214, 612.884084 
0.003217, 613.052440 
0.003228, 614.626201 
0.003242, 616.311224 
0.003253, 617.172110 
0.003267, 618.708146 
0.003281, 619.945646 
0.003294, 621.030706 
0.003311, 622.550300 
0.003328, 624.005631 
0.003342, 624.885098 
0.003357, 626.503191 
0.003377, 627.535998 
0.003388, 627.871396 
0.003403, 628.864152 
0.003422, 629.755180 
0.003437, 630.379167 
0.003448, 630.847935 
0.003469, 632.673799 
0.003482, 633.125413 
0.003497, 633.629017 
0.003518, 635.328679 
0.003540, 636.592192 
0.003556, 637.104242 
0.003577, 638.347973 
0.003601, 639.307958 
0.003614, 639.686787 
0.003636, 640.802065 
0.003661, 642.260811 
0.003681, 642.585323 
0.003697, 642.853416 
0.003721, 644.543206 
0.003745, 645.242643 
0.003763, 645.722185 
0.003780, 646.379692 
0.003803, 647.515053 
0.003827, 648.089752 
0.003845, 648.622710 
0.003867, 649.496997 
0.003892, 650.228378 
0.003913, 651.001989 
0.003935, 651.760811 
0.003957, 652.394707 
0.003981, 652.959535 
0.004004, 653.821734 
0.004030, 654.815503 
0.004059, 655.681944 
0.004084, 655.933483 
0.004107, 656.724700 
0.004140, 658.318168 
0.004167, 658.363889 
0.004194, 658.869782 
0.004221, 659.572523 
0.004247, 660.067530 
0.004274, 660.554129 
0.004296, 660.938026 
0.004323, 661.426089 
0.004344, 661.767943 
0.004374, 662.965916 
0.004402, 663.180218 
0.004422, 662.753829 
0.004442, 662.929542 
0.004471, 664.227177 
0.004504, 665.442455 
0.004544, 666.995571 
0.004583, 668.033859 
0.004628, 668.893544 
0.004673, 669.728604 
0.004717, 670.127215 
0.004752, 669.922035 
0.004791, 670.149812 
0.004822, 670.110285 
0.004853, 670.249287 
0.004877, 669.798836 
0.004906, 670.035736 
0.004933, 670.915465 
0.004964, 671.363851 
0.004991, 671.298461 
0.005023, 672.227140 
0.005064, 673.314565 
0.005101, 673.874099 
0.005144, 674.817155 
0.005189, 675.218131 
0.005231, 675.514527 
0.005269, 675.393131 
0.005309, 675.720833 
0.005345, 675.820045 
0.005382, 675.611149 
0.005413, 675.932733 
0.005446, 676.001839 
0.005479, 676.242492 
0.005510, 676.337800 
0.005545, 676.891704 
0.005578, 677.183859 
0.005615, 677.725488 
0.005651, 678.185135 
0.005690, 678.353754 
0.005732, 679.071434 
0.005771, 679.257958 
0.005817, 679.832583 
0.005857, 679.755330 
0.005897, 680.205781 
0.005939, 680.409347 
0.005982, 680.533033 
0.006020, 680.776877 
0.006056, 680.539640 
0.006094, 680.692230 
0.006133, 681.038776 
0.006172, 681.480143 
0.006206, 681.447823 
0.006242, 681.360548 
0.006280, 681.887125 
0.006322, 682.528904 
0.006362, 682.711824 
0.006407, 683.092342 
0.006451, 683.493168 
0.006496, 683.527477 
0.006536, 683.887875 
0.006581, 683.862387 
0.006623, 683.919857 
0.006661, 683.895871 
0.006701, 684.363476 
0.006743, 684.330856 
0.006779, 684.225526 
0.006818, 684.593393 
0.006858, 684.949850 
0.006903, 685.404354 
0.006942, 685.427365 
0.006982, 685.785811 
0.007025, 685.698649 
0.007068, 686.453716 
0.007112, 686.593544 
0.007161, 686.783408 
0.007208, 687.266141 
0.007256, 687.353866 
0.007302, 687.665315 
0.007347, 687.785773 
0.007393, 687.677365 
0.007438, 687.748911 
0.007480, 687.655143 
0.007516, 687.403303 
0.007549, 687.240015 
0.007586, 687.372935 
0.007614, 686.861937 
0.007645, 686.962538 
0.007682, 687.917380 
0.007723, 688.660285 
0.007768, 689.085811 
0.007818, 690.165390 
0.007878, 691.060998 
0.007933, 691.117155 
0.007995, 691.555743 
0.008044, 690.719857 
0.008086, 690.157170 
0.008128, 690.176014 
0.008170, 690.386787 
0.008209, 690.088851 
0.008241, 689.738476 
0.008275, 689.829617 
0.008310, 690.128228 
0.008348, 690.574137 
0.008385, 690.538626 
0.008426, 691.413063 
0.008468, 691.666216 
0.008513, 691.880218 
0.008560, 692.152890 
0.008605, 692.836036 
0.008649, 692.548348 
0.008692, 692.751014 
0.008745, 693.377928 
0.008786, 692.765953 
0.008822, 692.331719 
0.008858, 692.419032 
0.008898, 692.628416 
0.008933, 692.517868 
0.008970, 693.022785 
0.009011, 693.126014 
0.009049, 693.114077 
0.009091, 693.931081 
0.009139, 694.369670 
0.009180, 694.469069 
0.009222, 694.373911 
0.009269, 694.936974 
0.009314, 694.788589 
0.009358, 695.133033 
0.009399, 694.944745 
0.009446, 695.606794 
0.009488, 695.265803 
0.009524, 694.984835 
0.009566, 695.618093 
0.009606, 695.321584 
0.009648, 695.528641 
0.009690, 695.719107 
0.009727, 695.674662 
0.009763, 695.749812 
0.009804, 696.053116 
0.009845, 696.463476 
0.009884, 696.264640 
0.009933, 697.399512 
0.009978, 697.361749 
0.010021, 697.314827 
0.010067, 697.397898 
0.010110, 697.514377 
0.010156, 697.701839 
0.010195, 697.620120 
0.010240, 697.817830 
0.010280, 697.634760 
0.010321, 697.622447 
0.010358, 697.831832 
0.010398, 698.055218 
0.010438, 698.255518 
0.010477, 698.327665 
0.010519, 698.522110 
0.010557, 698.422673 
0.010596, 698.797710 
0.010644, 699.416254 
0.010687, 699.675788 
0.010729, 699.635473 
0.010781, 700.033859 
0.010824, 700.069520 
0.010871, 700.455293 
0.010916, 700.403754 
0.010954, 699.832470 
0.010998, 700.164752 
0.011035, 699.904917 
0.011066, 699.540841 
0.011092, 698.726877 
0.011122, 698.843956 
0.011160, 700.162012 
0.011200, 700.580968 
0.011243, 701.111899 
0.011295, 702.234422 
0.011356, 703.389827 
0.011408, 702.578716 
0.011461, 703.083221 
0.011520, 703.484910 
0.011568, 702.748874 
0.011614, 702.669182 
0.011651, 702.136111 
0.011685, 701.604054 
0.011717, 701.289827 
0.011754, 701.834272 
0.011789, 702.047785 
0.011826, 702.180180 
0.011859, 702.146809 
0.011901, 702.935623 
0.011944, 703.567605 
0.011991, 704.134122 
0.012039, 704.426952 
0.012087, 704.336111 
0.012139, 704.617568 
0.012176, 703.861299 
0.012215, 704.079505 
0.012259, 704.327290 
0.012302, 704.407207 
0.012340, 704.367905 
0.012375, 704.309722 
0.012417, 704.649887 
0.012453, 704.569257 
0.012491, 704.596659 
0.012528, 704.339489 
0.012566, 704.861336 
0.012609, 705.664940 
0.012655, 705.984685 
0.012700, 706.054692 
0.012745, 706.415841 
0.012789, 706.399625 
0.012831, 706.220533 
0.012875, 706.536749 
0.012920, 706.568131 
0.012956, 706.480668 
0.012996, 706.251464 
0.013033, 706.393318 
0.013065, 705.913551 
0.013101, 706.184685 
0.013146, 707.267117 
0.013183, 706.606006 
0.013224, 707.310661 
0.013268, 707.906194 
0.013310, 707.803904 
0.013350, 707.882432 
0.013394, 708.151351 
0.013443, 708.482470 
0.013483, 708.413326 
0.013521, 708.399962 
0.013565, 708.543544 
0.013605, 708.438776 
0.013645, 708.486787 
0.013685, 708.778716 
0.013726, 708.816854 
0.013760, 708.224962 
0.013794, 708.311036 
0.013825, 708.070345 
0.013851, 707.304279 
0.013878, 707.539602 
0.013920, 709.093919 
0.013956, 709.094932 
0.013996, 709.797973 
0.014050, 711.309947 
0.014107, 711.873724 
0.014161, 711.492417 
0.014211, 711.828003 
0.014260, 711.489715 
0.014300, 710.691667 
0.014340, 710.370833 
0.014371, 709.858371 
0.014407, 710.412725 
0.014444, 710.422673 
0.014474, 710.368806 
0.014510, 710.684047 
0.014550, 711.163889 
0.014584, 711.056269 
0.014621, 711.209797 
0.014664, 712.014715 
0.014706, 711.909947 
0.014745, 712.463063 
0.014794, 712.762838 
0.014834, 712.613363 
0.014878, 712.606832 
0.014923, 713.357282 
0.014967, 712.885511 
0.015000, 712.427628 
0.015044, 713.110773 
0.015082, 712.631231 
0.015116, 712.629992 
0.015154, 712.973986 
0.015193, 713.341216 
0.015230, 713.188213 
0.015268, 713.619595 
0.015310, 713.978041 
0.015348, 713.732508 
0.015383, 713.300375 
0.015414, 713.027740 
0.015451, 713.853341 
0.015486, 713.863363 
0.015525, 713.816291 
0.015559, 713.953979 
0.015592, 714.058408 
0.015629, 714.008671 
0.015661, 714.246359 
0.015698, 714.595871 
0.015735, 714.562950 
0.015770, 714.728003 
0.015810, 715.136224 
0.015845, 715.046697 
0.015887, 715.827515 
0.015927, 716.184384 
0.015966, 716.062913 
0.016007, 716.226914 
0.016053, 716.683971 
0.016093, 716.244369 
0.016133, 716.410435 
0.016173, 716.684835 
0.016216, 716.558446 
0.016249, 716.645045 
0.016288, 716.427590 
0.016322, 716.346922 
0.016352, 716.000826 
0.016382, 715.810923 
0.016410, 715.570158 
0.016444, 716.249437 
0.016480, 717.060511 
0.016517, 717.585736 
0.016565, 718.356607 
0.016618, 719.365616 
0.016672, 719.446997 
0.016718, 719.124362 
0.016767, 719.478604 
0.016812, 719.178078 
0.016854, 719.012763 
0.016891, 718.647935 
0.016926, 718.641929 
0.016962, 718.247335 
0.016997, 718.402027 
0.017031, 718.371622 
0.017063, 718.315541 
0.017096, 718.720158 
0.017135, 718.770308 
0.017172, 719.336149 
0.017210, 719.854054 
0.017247, 719.865053 
0.017288, 720.057508 
0.017330, 720.484872 
0.017379, 720.829017 
0.017417, 720.545195 
0.017460, 720.715278 
0.017498, 720.563964 
0.017540, 720.789640 
0.017575, 720.569257 
0.017611, 720.789940 
0.017648, 720.800413 
0.017682, 720.555480 
0.017719, 721.037950 
0.017752, 720.821396 
0.017788, 721.174399 
0.017828, 721.610398 
0.017869, 721.906456 
0.017908, 722.076314 
0.017948, 722.125000 
0.017993, 722.582995 
0.018033, 722.475300 
0.018070, 722.564677 
0.018110, 722.545308 
0.018149, 722.452665 
0.018182, 722.494820 
0.018221, 722.882207 
0.018259, 722.894294 
0.018302, 723.397673 
0.018337, 722.893581 
0.018371, 723.283258 
0.018407, 723.093731 
0.018441, 722.851577 
0.018474, 723.181119 
0.018513, 723.636111 
0.018549, 723.587275 
0.018580, 723.464565 
0.018625, 724.337312 
0.018666, 724.560848 
0.018707, 724.674925 
0.018747, 724.934610 
0.018792, 725.111749 
0.018829, 725.114827 
0.018875, 725.471847 
0.018916, 725.245158 
0.018947, 724.406794 
0.018984, 725.166854 
0.019020, 725.048161 
0.019050, 724.482170 
0.019075, 723.930030 
0.019104, 724.122035 
0.019143, 725.179467 
0.019173, 724.771997 
0.019206, 725.196622 
0.019256, 727.002027 
0.019304, 727.570646 
0.019356, 727.995683 
0.019411, 728.346059 
0.019462, 727.965390 
0.019501, 727.022785 
0.019543, 727.527703 
0.019585, 727.588326 
0.019619, 726.880631 
0.019651, 726.480255 
0.019684, 726.558896 
0.019716, 726.410961 
0.019750, 727.063026 
0.019785, 727.072785 
0.019817, 727.106944 
0.019858, 727.923836 
0.019900, 728.521284 
0.019943, 728.754204 
0.019983, 728.805143 
0.020027, 729.014602 
0.020068, 729.315278 
0.020108, 728.985511 
0.020149, 729.123649 
0.020187, 728.979129 
0.020222, 728.849812 
0.020252, 728.417005 
0.020284, 728.727740 
0.020320, 728.370158 
0.020351, 728.818919 
0.020389, 729.404505 
0.020427, 729.550976 
0.020465, 729.805180 
0.020504, 730.319932 
0.020551, 730.873461 
0.020588, 730.469932 
0.020628, 730.516404 
0.020667, 730.685173 
0.020704, 730.565691 
0.020739, 730.378116 
0.020775, 730.686261 
0.020809, 730.601539 
0.020840, 730.314414 
0.020880, 731.101464 
0.020914, 730.999925 
0.020949, 730.922860 
0.020984, 731.102553 
0.021024, 731.515390 
