Eng_Strain, Eng_Stress (MPa) 
0.000042, 8.452587 
0.000053, 10.843721 
0.000053, 11.857749 
0.000062, 13.142341 
0.000066, 13.747263 
0.000069, 14.124331 
0.000076, 16.157113 
0.000083, 17.665140 
0.000090, 19.083694 
0.000098, 20.794775 
0.000106, 22.524725 
0.000123, 25.726969 
0.000135, 28.350249 
0.000159, 33.339656 
0.000167, 34.955021 
0.000172, 36.148760 
0.000181, 38.122498 
0.000187, 39.674289 
0.000197, 41.462710 
0.000203, 43.022563 
0.000209, 44.232467 
0.000219, 46.128193 
0.000227, 47.998174 
0.000234, 49.391789 
0.000242, 51.183492 
0.000249, 52.557746 
0.000259, 54.203668 
0.000264, 55.950237 
0.000274, 57.730554 
0.000286, 59.439007 
0.000291, 61.207847 
0.000298, 62.769439 
0.000306, 64.651616 
0.000315, 66.010757 
0.000322, 67.686140 
0.000331, 69.623745 
0.000340, 71.352457 
0.000346, 72.911848 
0.000356, 75.208093 
0.000366, 77.013727 
0.000375, 78.912746 
0.000385, 80.582927 
0.000391, 82.200974 
0.000396, 83.666965 
0.000403, 85.037177 
0.000412, 86.769814 
0.000418, 88.202266 
0.000427, 89.906199 
0.000435, 91.534528 
0.000440, 93.020623 
0.000449, 94.821794 
0.000458, 97.233581 
0.000469, 99.185614 
0.000478, 100.840234 
0.000488, 103.467219 
0.000495, 105.251946 
0.000508, 107.037457 
0.000509, 108.027932 
0.000522, 110.376706 
0.000529, 112.297416 
0.000539, 114.101421 
0.000544, 115.502296 
0.000551, 116.600527 
0.000560, 118.304721 
0.000568, 119.906570 
0.000577, 121.817929 
0.000585, 123.579760 
0.000593, 125.392589 
0.000600, 127.049596 
0.000612, 128.874273 
0.000619, 130.562740 
0.000628, 132.585159 
0.000638, 134.531004 
0.000644, 136.158993 
0.000650, 137.726310 
0.000661, 139.582188 
0.000667, 141.053950 
0.000676, 142.678221 
0.000683, 144.379150 
0.000691, 145.942064 
0.000696, 147.811890 
0.000709, 149.379188 
0.000713, 150.943417 
0.000720, 152.671955 
0.000732, 154.622612 
0.000740, 156.587853 
0.000750, 158.319047 
0.000755, 159.878559 
0.000759, 161.234452 
0.000772, 163.232240 
0.000783, 165.367870 
0.000787, 166.658606 
0.000797, 168.044751 
0.000806, 170.148263 
0.000814, 172.100834 
0.000822, 173.762301 
0.000830, 175.359330 
0.000837, 176.904225 
0.000841, 178.441333 
0.000853, 180.135282 
0.000863, 182.105339 
0.000868, 183.259262 
0.000875, 185.166711 
0.000889, 187.231690 
0.000893, 188.589099 
0.000902, 190.317577 
0.000912, 192.204747 
0.000920, 193.937218 
0.000930, 195.907805 
0.000934, 197.547683 
0.000942, 198.937525 
0.000953, 200.841458 
0.000961, 202.859205 
0.000971, 204.721547 
0.000978, 206.214178 
0.000985, 207.968094 
0.000994, 209.563994 
0.000999, 210.840818 
0.001005, 211.968120 
0.001015, 213.891369 
0.001023, 215.499848 
0.001028, 216.892339 
0.001035, 218.057750 
0.001044, 220.109946 
0.001053, 221.977138 
0.001060, 223.466290 
0.001071, 225.676035 
0.001082, 228.533107 
0.001091, 230.634494 
0.001104, 232.541238 
0.001108, 233.866718 
0.001112, 234.756515 
0.001122, 236.875903 
0.001129, 238.384890 
0.001135, 239.674368 
0.001141, 241.239427 
0.001153, 243.138624 
0.001161, 245.060005 
0.001165, 245.946615 
0.001169, 247.059880 
0.001181, 249.288031 
0.001187, 250.216474 
0.001200, 252.889319 
0.001204, 254.261641 
0.001210, 255.180798 
0.001217, 257.064585 
0.001227, 258.905967 
0.001236, 260.136707 
0.001241, 261.389202 
0.001245, 262.975039 
0.001255, 264.669750 
0.001260, 265.988997 
0.001268, 267.001747 
0.001272, 268.050404 
0.001279, 270.030853 
0.001290, 271.873512 
0.001296, 273.116963 
0.001302, 274.421684 
0.001310, 276.382598 
0.001317, 277.424135 
0.001323, 278.989008 
0.001331, 280.864453 
0.001337, 282.179570 
0.001343, 282.903084 
0.001348, 284.682010 
0.001359, 286.487872 
0.001366, 287.486432 
0.001373, 288.862695 
0.001381, 290.186398 
0.001388, 291.788054 
0.001391, 292.835786 
0.001395, 293.699257 
0.001405, 295.218494 
0.001414, 296.737468 
0.001419, 298.060747 
0.001429, 299.704895 
0.001435, 301.010006 
0.001440, 302.346959 
0.001451, 303.319414 
0.001458, 305.010109 
0.001467, 306.695461 
0.001475, 308.040568 
0.001480, 309.334801 
0.001490, 310.293271 
0.001499, 312.058508 
0.001508, 313.332702 
0.001514, 314.551324 
0.001526, 316.134255 
0.001532, 317.467469 
0.001543, 318.607097 
0.001552, 320.164051 
0.001559, 320.936593 
0.001563, 321.842633 
0.001572, 322.869625 
0.001581, 323.779771 
0.001591, 325.564506 
0.001604, 327.716216 
0.001619, 329.595192 
0.001631, 331.075406 
0.001640, 332.621820 
0.001660, 334.683431 
0.001678, 336.239465 
0.001685, 337.033020 
0.001699, 338.386212 
0.001711, 339.379945 
0.001720, 340.120331 
0.001732, 341.140852 
0.001744, 341.937737 
0.001756, 342.888880 
0.001772, 344.283738 
0.001783, 344.994449 
0.001797, 346.212625 
0.001812, 347.044406 
0.001822, 348.139738 
0.001839, 349.160815 
0.001854, 350.035142 
0.001871, 351.268158 
0.001888, 352.134793 
0.001904, 352.889869 
0.001925, 354.213644 
0.001941, 354.942674 
0.001961, 355.807085 
0.001979, 356.573667 
0.001997, 357.354681 
0.002018, 358.217838 
0.002038, 358.737404 
0.002058, 359.599523 
0.002077, 360.043936 
0.002099, 360.852184 
0.002123, 361.871114 
0.002146, 362.798613 
0.002174, 363.582916 
0.002203, 364.525586 
0.002230, 365.192638 
0.002257, 365.722082 
0.002287, 366.419547 
0.002316, 366.686989 
0.002343, 367.236563 
0.002371, 367.794093 
0.002398, 367.912087 
0.002427, 368.385845 
0.002455, 368.692286 
0.002479, 368.680855 
0.002507, 369.122976 
0.002537, 369.831800 
0.002567, 370.513466 
0.002598, 371.068700 
0.002633, 371.726390 
0.002673, 372.491680 
0.002713, 373.537321 
0.002757, 374.486686 
0.002800, 374.634395 
0.002843, 374.454166 
0.002881, 374.767525 
0.002919, 374.758459 
0.002950, 374.874012 
0.002986, 375.056428 
0.003017, 375.075816 
0.003056, 375.903080 
0.003091, 375.941708 
0.003123, 375.720259 
0.003157, 376.254586 
0.003195, 376.559694 
0.003230, 377.173319 
0.003267, 377.441424 
0.003305, 377.605376 
0.003340, 378.046130 
0.003379, 378.483329 
0.003418, 378.615163 
0.003451, 378.750366 
0.003486, 378.888232 
0.003525, 379.077862 
0.003558, 379.087675 
0.003594, 379.687114 
0.003634, 380.201190 
0.003671, 380.450044 
0.003709, 380.941083 
0.003748, 381.154624 
0.003790, 381.194029 
0.003826, 381.284810 
0.003865, 381.783314 
0.003899, 381.989808 
0.003936, 382.136135 
0.003975, 382.233054 
0.004010, 382.397075 
0.004042, 382.856629 
0.004084, 383.436138 
0.004121, 383.591899 
0.004160, 383.901224 
0.004198, 384.029819 
0.004235, 384.413026 
0.004274, 384.851514 
0.004314, 384.846399 
0.004353, 385.016254 
0.004388, 385.127988 
0.004428, 385.618800 
0.004466, 386.005949 
0.004504, 386.103891 
0.004541, 386.310575 
0.004578, 386.065320 
0.004615, 386.548138 
0.004648, 386.551207 
0.004684, 387.050203 
0.004724, 387.480961 
0.004754, 386.850225 
0.004789, 387.479635 
0.004826, 388.011253 
0.004864, 388.280794 
0.004898, 388.597886 
0.004935, 388.667753 
0.004968, 388.690751 
0.005000, 388.505096 
0.005037, 389.084530 
0.005074, 389.668927 
0.005111, 389.957792 
0.005148, 390.234267 
0.005188, 390.689766 
0.005230, 391.506990 
0.005274, 392.057250 
0.005319, 392.116281 
0.005363, 392.440647 
0.005403, 392.197098 
0.005441, 392.315387 
0.005473, 392.240253 
0.005510, 392.602129 
0.005546, 392.729587 
0.005576, 392.476263 
0.005610, 392.725874 
0.005645, 392.969575 
0.005680, 393.617664 
0.005718, 393.893343 
0.005752, 393.826772 
0.005786, 394.493085 
0.005826, 394.806729 
0.005862, 394.580722 
0.005900, 395.268215 
0.005935, 395.165006 
0.005974, 395.649831 
0.006012, 395.854962 
0.006047, 395.714924 
0.006080, 396.018262 
0.006113, 396.016595 
0.006150, 396.083583 
0.006177, 395.964612 
0.006207, 396.391467 
0.006247, 396.764976 
0.006279, 396.952298 
0.006309, 397.063653 
0.006339, 397.315538 
0.006377, 397.936498 
0.006413, 398.256545 
0.006450, 398.625696 
0.006485, 398.679688 
0.006516, 398.632630 
0.006555, 399.203652 
0.006591, 399.440950 
0.006628, 399.651423 
0.006662, 399.688667 
0.006693, 399.493085 
0.006726, 399.766605 
0.006759, 400.076990 
0.006793, 400.525935 
0.006826, 400.573978 
0.006854, 400.056492 
0.006889, 401.101353 
0.006922, 401.308112 
0.006954, 401.180351 
0.006984, 401.640321 
0.007023, 402.260562 
0.007064, 403.132876 
0.007108, 403.675596 
0.007150, 403.850566 
0.007193, 404.146781 
0.007229, 403.787103 
0.007269, 404.336908 
0.007310, 404.389573 
0.007344, 403.865684 
0.007376, 404.050619 
0.007408, 404.117834 
0.007442, 404.374380 
0.007470, 404.183344 
0.007501, 404.466108 
0.007535, 404.859054 
0.007570, 405.034782 
0.007603, 405.620468 
0.007639, 405.897890 
0.007676, 406.234646 
0.007715, 406.826204 
0.007752, 406.895048 
0.007786, 406.811617 
0.007821, 406.849127 
0.007854, 407.208692 
0.007893, 407.612928 
0.007926, 407.526200 
0.007956, 407.628083 
0.007991, 408.162051 
0.008024, 408.134430 
0.008060, 408.346115 
0.008091, 408.539651 
0.008123, 408.501762 
0.008157, 408.857462 
0.008194, 409.544273 
